wavelength,D_C,D_M,D_Y,D_min
380,0.5139,0.0674,0.1188,0.7138
385,0.5139,0.0674,0.1188,0.7138
390,0.4292,0.0617,0.2138,0.7138
395,0.3601,0.0564,0.3008,0.7138
400,0.3057,0.0521,0.3851,0.7138
405,0.2608,0.0491,0.4728,0.7138
410,0.2194,0.0473,0.5666,0.7274
415,0.1769,0.0462,0.6652,0.7612
420,0.1314,0.0445,0.7654,0.7993
425,0.0845,0.0408,0.8637,0.8304
430,0.0411,0.0337,0.9559,0.8519
435,0.0063,0.0227,1.0373,0.8640
440,0.0000,0.0082,1.1029,0.8665
445,0.0000,0.0000,1.1491,0.8629
450,0.0000,0.0000,1.1734,0.8531
455,0.0000,0.0000,1.1741,0.8397
460,0.0000,0.0000,1.1499,0.8227
465,0.0027,0.0000,1.1005,0.8036
470,0.0168,0.0000,1.0269,0.7842
475,0.0297,0.0392,0.9323,0.7648
480,0.0401,0.1062,0.8215,0.7447
485,0.0475,0.1954,0.7007,0.7245
490,0.0518,0.3035,0.5763,0.7066
495,0.0536,0.4259,0.4538,0.6954
500,0.0535,0.5566,0.3381,0.6936
505,0.0521,0.6891,0.2341,0.7040
510,0.0497,0.8167,0.1459,0.7096
515,0.0464,0.9345,0.0759,0.7022
520,0.0417,1.0390,0.0248,0.6786
525,0.0350,1.1275,0.0000,0.6509
530,0.0256,1.1975,0.0000,0.6336
535,0.0131,1.2453,0.0000,0.6233
540,0.0000,1.2673,0.0000,0.6167
545,0.0000,1.2618,0.0000,0.6085
550,0.0000,1.2297,0.0000,0.6003
555,0.0000,1.1733,0.0000,0.5964
560,0.0000,1.0952,0.0035,0.5956
565,0.0000,0.9984,0.0098,0.5941
570,0.0000,0.8874,0.0140,0.5855
575,0.0061,0.7688,0.0164,0.5650
580,0.0569,0.6504,0.0175,0.5250
585,0.1217,0.5389,0.0179,0.4694
590,0.1969,0.4384,0.0179,0.3979
595,0.2783,0.3508,0.0178,0.3360
600,0.3612,0.2767,0.0174,0.2855
605,0.4429,0.2155,0.0163,0.2503
610,0.5220,0.1662,0.0144,0.2282
615,0.5985,0.1267,0.0118,0.2147
620,0.6723,0.0946,0.0088,0.2077
625,0.7436,0.0680,0.0062,0.2047
630,0.8130,0.0459,0.0042,0.2041
635,0.8811,0.0277,0.0030,0.2058
640,0.9480,0.0127,0.0022,0.2091
645,1.0132,0.0004,0.0018,0.2137
650,1.0759,0.0000,0.0014,0.2189
655,1.1358,0.0000,0.0010,0.2249
660,1.1919,0.0000,0.0007,0.2308
665,1.2425,0.0000,0.0004,0.2367
670,1.2850,0.0000,0.0002,0.2422
675,1.3176,0.0000,0.0001,0.2472
680,1.3398,0.0000,0.0000,0.2517
685,1.3520,0.0000,0.0000,0.2517
690,1.3535,0.0000,0.0000,0.2517
695,1.3427,0.0000,0.0000,0.2517
700,1.3175,0.0000,0.0000,0.2517
705,1.2773,0.0000,0.0000,0.2517
710,1.2234,0.0000,0.0000,0.2517
715,1.1582,0.0000,0.0000,0.2517
720,1.0846,0.0000,0.0000,0.2517
725,1.0053,0.0000,0.0000,0.2517
730,0.9226,0.0000,0.0001,0.2517
