wavelength,D_C,D_M,D_Y,D_min
380,0.2199,0.0690,0.1974,0.9334
385,0.2199,0.0690,0.1974,0.9334
390,0.1801,0.0606,0.2845,0.9334
395,0.1417,0.0508,0.3688,0.9334
400,0.1060,0.0401,0.4547,0.9334
405,0.0734,0.0291,0.5456,0.8975
410,0.0447,0.0185,0.6415,0.8761
415,0.0205,0.0088,0.7399,0.8660
420,0.0014,0.0002,0.8374,0.8706
425,0.0000,0.0000,0.9307,0.8821
430,0.0000,0.0000,1.0156,0.8927
435,0.0000,0.0000,1.0873,0.9003
440,0.0000,0.0000,1.1415,0.9021
445,0.0000,0.0000,1.1752,0.8951
450,0.0000,0.0000,1.1866,0.8847
455,0.0000,0.0000,1.1747,0.8724
460,0.0054,0.0000,1.1390,0.8576
465,0.0126,0.0070,1.0798,0.8421
470,0.0186,0.0380,0.9992,0.8251
475,0.0231,0.0797,0.9010,0.8075
480,0.0259,0.1347,0.7905,0.7889
485,0.0268,0.2050,0.6742,0.7703
490,0.0259,0.2906,0.5580,0.7519
495,0.0233,0.3898,0.4468,0.7355
500,0.0189,0.5002,0.3441,0.7185
505,0.0131,0.6185,0.2528,0.7025
510,0.0060,0.7398,0.1750,0.6913
515,0.0000,0.8587,0.1119,0.6820
520,0.0000,0.9708,0.0632,0.6735
525,0.0000,1.0722,0.0275,0.6641
530,0.0000,1.1599,0.0028,0.6542
535,0.0000,1.2301,0.0000,0.6439
540,0.0000,1.2783,0.0000,0.6324
545,0.0000,1.3003,0.0000,0.6204
550,0.0000,1.2938,0.0000,0.6076
555,0.0054,1.2597,0.0000,0.5938
560,0.0288,1.2003,0.0000,0.5802
565,0.0599,1.1185,0.0000,0.5618
570,0.0991,1.0175,0.0000,0.5275
575,0.1462,0.9026,0.0000,0.4909
580,0.2000,0.7810,0.0008,0.4466
585,0.2590,0.6610,0.0042,0.4033
590,0.3213,0.5494,0.0070,0.3619
595,0.3855,0.4500,0.0095,0.3250
600,0.4507,0.3645,0.0117,0.2849
605,0.5164,0.2931,0.0132,0.2630
610,0.5820,0.2349,0.0138,0.2493
615,0.6467,0.1883,0.0132,0.2421
620,0.7100,0.1509,0.0116,0.2392
625,0.7715,0.1201,0.0093,0.2394
630,0.8316,0.0942,0.0068,0.2398
635,0.8905,0.0722,0.0047,0.2448
640,0.9480,0.0539,0.0033,0.2503
645,1.0035,0.0388,0.0025,0.2570
650,1.0568,0.0266,0.0020,0.2645
655,1.1077,0.0172,0.0016,0.2719
660,1.1563,0.0104,0.0013,0.2790
665,1.2020,0.0062,0.0009,0.2817
670,1.2438,0.0046,0.0006,0.2810
675,1.2800,0.0053,0.0004,0.2751
680,1.3093,0.0078,0.0002,0.2688
685,1.3312,0.0117,0.0001,0.2619
690,1.3463,0.0162,0.0000,0.2547
695,1.3550,0.0208,0.0000,0.2469
700,1.3568,0.0251,0.0000,0.2399
705,1.3507,0.0287,0.0000,0.2313
710,1.3351,0.0314,0.0000,0.2227
715,1.3092,0.0333,0.0000,0.2142
720,1.2731,0.0344,0.0000,0.2142
725,1.2279,0.0348,0.0000,0.2142
730,1.1751,0.0348,0.0000,0.2142
