wavelength,D_C,D_M,D_Y,D_min
380,0.3468,0.0697,0.1317,1.4474
385,0.3468,0.0697,0.1317,1.4474
390,0.3193,0.0619,0.2260,1.4474
395,0.2859,0.0537,0.3130,1.4474
400,0.2459,0.0456,0.3978,1.4474
405,0.2014,0.0378,0.4864,1.2051
410,0.1562,0.0303,0.5811,1.0798
415,0.1142,0.0227,0.6804,1.0415
420,0.0776,0.0144,0.7814,1.0316
425,0.0475,0.0045,0.8805,1.0344
430,0.0237,0.0000,0.9736,1.0368
435,0.0060,0.0000,1.0562,1.0363
440,0.0000,0.0000,1.1235,1.0304
445,0.0000,0.0000,1.1715,1.0204
450,0.0000,0.0000,1.1980,1.0058
455,0.0000,0.0000,1.2011,0.9938
460,0.0000,0.0000,1.1796,0.9772
465,0.0000,0.0000,1.1329,0.9590
470,0.0054,0.0132,1.0619,0.9405
475,0.0122,0.0617,0.9693,0.9213
480,0.0187,0.1281,0.8598,0.9017
485,0.0245,0.2129,0.7393,0.8818
490,0.0297,0.3142,0.6143,0.8620
495,0.0343,0.4294,0.4901,0.8429
500,0.0382,0.5550,0.3719,0.8262
505,0.0413,0.6859,0.2640,0.8133
510,0.0434,0.8165,0.1707,0.8010
515,0.0440,0.9414,0.0947,0.7887
520,0.0423,1.0564,0.0372,0.7764
525,0.0375,1.1581,0.0000,0.7639
530,0.0288,1.2434,0.0000,0.7511
535,0.0162,1.3084,0.0000,0.7380
540,0.0000,1.3486,0.0000,0.7243
545,0.0000,1.3605,0.0000,0.7094
550,0.0000,1.3436,0.0000,0.6934
555,0.0000,1.2996,0.0000,0.6842
560,0.0000,1.2311,0.0000,0.6761
565,0.0000,1.1409,0.0025,0.6668
570,0.0000,1.0325,0.0086,0.6521
575,0.0246,0.9115,0.0128,0.6164
580,0.0825,0.7854,0.0154,0.5608
585,0.1532,0.6621,0.0167,0.4903
590,0.2320,0.5478,0.0174,0.4166
595,0.3139,0.4461,0.0178,0.3545
600,0.3950,0.3583,0.0178,0.2978
605,0.4730,0.2846,0.0172,0.2533
610,0.5473,0.2245,0.0159,0.2237
615,0.6182,0.1767,0.0137,0.2090
620,0.6861,0.1388,0.0109,0.2036
625,0.7514,0.1084,0.0080,0.2011
630,0.8148,0.0837,0.0055,0.2001
635,0.8771,0.0638,0.0038,0.2001
640,0.9388,0.0480,0.0028,0.2005
645,0.9995,0.0357,0.0021,0.2011
650,1.0586,0.0262,0.0017,0.2011
655,1.1157,0.0187,0.0013,0.1989
660,1.1704,0.0128,0.0009,0.1961
665,1.2222,0.0084,0.0006,0.1930
670,1.2697,0.0052,0.0004,0.1900
675,1.3110,0.0033,0.0002,0.1869
680,1.3442,0.0026,0.0001,0.1838
685,1.3687,0.0029,0.0000,0.1807
690,1.3848,0.0041,0.0000,0.1777
695,1.3929,0.0058,0.0000,0.1746
700,1.3922,0.0079,0.0000,0.1713
705,1.3810,0.0102,0.0000,0.1688
710,1.3578,0.0126,0.0000,0.1660
715,1.3221,0.0149,0.0000,0.1637
720,1.2746,0.0170,0.0000,0.1637
725,1.2173,0.0189,0.0000,0.1637
730,1.1524,0.0207,0.0000,0.1637
