wavelength,D_C,D_M,D_Y,D_min
380,0.2229,0.0732,0.2105,0.8486
385,0.2229,0.0732,0.2105,0.8486
390,0.1836,0.0664,0.2966,0.8486
395,0.1445,0.0585,0.3816,0.8486
400,0.1065,0.0498,0.4698,0.8486
405,0.0707,0.0408,0.5638,0.8486
410,0.0383,0.0322,0.6626,0.8275
415,0.0108,0.0240,0.7635,0.8195
420,0.0000,0.0162,0.8632,0.8231
425,0.0000,0.0082,0.9576,0.8333
430,0.0000,0.0000,1.0422,0.8422
435,0.0000,0.0000,1.1121,0.8489
440,0.0000,0.0000,1.1629,0.8496
445,0.0000,0.0000,1.1920,0.8427
450,0.0000,0.0000,1.1976,0.8333
455,0.0059,0.0000,1.1783,0.8224
460,0.0162,0.0000,1.1335,0.8099
465,0.0247,0.0082,1.0642,0.7959
470,0.0308,0.0399,0.9732,0.7814
475,0.0347,0.0835,0.8654,0.7658
480,0.0362,0.1417,0.7470,0.7501
485,0.0357,0.2159,0.6249,0.7338
490,0.0334,0.3054,0.5050,0.7180
495,0.0296,0.4081,0.3921,0.7020
500,0.0242,0.5213,0.2901,0.6872
505,0.0176,0.6410,0.2022,0.6742
510,0.0100,0.7623,0.1304,0.6634
515,0.0017,0.8798,0.0752,0.6540
520,0.0000,0.9892,0.0355,0.6452
525,0.0000,1.0870,0.0091,0.6360
530,0.0000,1.1702,0.0000,0.6263
535,0.0000,1.2350,0.0000,0.6159
540,0.0000,1.2768,0.0000,0.6046
545,0.0000,1.2916,0.0000,0.5924
550,0.0000,1.2781,0.0000,0.5794
555,0.0037,1.2375,0.0000,0.5662
560,0.0273,1.1723,0.0032,0.5523
565,0.0591,1.0855,0.0076,0.5348
570,0.0993,0.9806,0.0110,0.5041
575,0.1476,0.8636,0.0133,0.4677
580,0.2026,0.7422,0.0149,0.4294
585,0.2626,0.6244,0.0159,0.3911
590,0.3257,0.5166,0.0166,0.3535
595,0.3906,0.4220,0.0170,0.3185
600,0.4563,0.3417,0.0170,0.2871
605,0.5223,0.2758,0.0161,0.2630
610,0.5879,0.2232,0.0144,0.2502
615,0.6523,0.1820,0.0118,0.2440
620,0.7149,0.1494,0.0089,0.2400
625,0.7757,0.1230,0.0063,0.2399
630,0.8350,0.1009,0.0043,0.2418
635,0.8930,0.0823,0.0031,0.2458
640,0.9492,0.0668,0.0023,0.2513
645,1.0034,0.0539,0.0018,0.2578
650,1.0552,0.0436,0.0014,0.2652
655,1.1047,0.0358,0.0011,0.2724
660,1.1517,0.0305,0.0007,0.2796
665,1.1957,0.0279,0.0005,0.2833
670,1.2352,0.0274,0.0003,0.2816
675,1.2688,0.0286,0.0001,0.2764
680,1.2954,0.0308,0.0000,0.2700
685,1.3148,0.0332,0.0000,0.2628
690,1.3277,0.0354,0.0000,0.2557
695,1.3342,0.0369,0.0000,0.2483
700,1.3337,0.0379,0.0000,0.2403
705,1.3249,0.0384,0.0000,0.2324
710,1.3065,0.0383,0.0000,0.2241
715,1.2779,0.0378,0.0000,0.2155
720,1.2395,0.0371,0.0000,0.2074
725,1.1924,0.0362,0.0000,0.2074
730,1.1386,0.0354,0.0001,0.2074
