wavelength,D_C,D_M,D_Y,D_min
380,0.3467,0.0663,0.1937,0.7648
385,0.3467,0.0663,0.1937,0.7648
390,0.3166,0.0587,0.2839,0.7648
395,0.2800,0.0509,0.3715,0.7648
400,0.2363,0.0435,0.4615,0.7648
405,0.1871,0.0365,0.5573,0.7583
410,0.1368,0.0297,0.6585,0.7872
415,0.0900,0.0224,0.7624,0.8327
420,0.0501,0.0137,0.8655,0.8808
425,0.0186,0.0029,0.9637,0.9213
430,0.0000,0.0000,1.0523,0.9530
435,0.0000,0.0000,1.1260,0.9747
440,0.0000,0.0000,1.1807,0.9852
445,0.0000,0.0000,1.2135,0.9839
450,0.0000,0.0000,1.2225,0.9708
455,0.0000,0.0000,1.2062,0.9480
460,0.0000,0.0000,1.1639,0.9193
465,0.0099,0.0100,1.0961,0.8874
470,0.0201,0.0576,1.0054,0.8529
475,0.0285,0.1244,0.8959,0.8167
480,0.0348,0.2106,0.7737,0.7800
485,0.0390,0.3145,0.6451,0.7441
490,0.0412,0.4328,0.5159,0.7114
495,0.0417,0.5615,0.3914,0.6859
500,0.0404,0.6950,0.2770,0.6698
505,0.0374,0.8269,0.1775,0.6616
510,0.0327,0.9516,0.0968,0.6567
515,0.0262,1.0648,0.0364,0.6522
520,0.0177,1.1630,0.0000,0.6462
525,0.0075,1.2424,0.0000,0.6410
530,0.0000,1.2987,0.0000,0.6422
535,0.0000,1.3273,0.0000,0.6442
540,0.0000,1.3258,0.0000,0.6441
545,0.0000,1.2948,0.0000,0.6418
550,0.0000,1.2368,0.0000,0.6377
555,0.0000,1.1548,0.0052,0.6333
560,0.0000,1.0522,0.0120,0.6258
565,0.0000,0.9342,0.0164,0.6133
570,0.0316,0.8082,0.0187,0.5910
575,0.0740,0.6828,0.0196,0.5579
580,0.1267,0.5655,0.0196,0.5110
585,0.1883,0.4607,0.0193,0.4561
590,0.2564,0.3701,0.0190,0.3977
595,0.3281,0.2942,0.0184,0.3484
600,0.4011,0.2324,0.0174,0.3081
605,0.4740,0.1831,0.0157,0.2780
610,0.5461,0.1440,0.0131,0.2566
615,0.6170,0.1124,0.0101,0.2423
620,0.6862,0.0862,0.0072,0.2348
625,0.7534,0.0644,0.0049,0.2310
630,0.8188,0.0463,0.0034,0.2309
635,0.8829,0.0312,0.0025,0.2319
640,0.9458,0.0184,0.0020,0.2371
645,1.0071,0.0071,0.0015,0.2426
650,1.0663,0.0000,0.0011,0.2491
655,1.1230,0.0000,0.0008,0.2563
660,1.1771,0.0000,0.0005,0.2638
665,1.2276,0.0000,0.0003,0.2717
670,1.2731,0.0000,0.0001,0.2787
675,1.3114,0.0000,0.0000,0.2853
680,1.3411,0.0000,0.0000,0.2914
685,1.3621,0.0000,0.0000,0.2974
690,1.3748,0.0000,0.0000,0.3007
695,1.3792,0.0000,0.0000,0.3027
700,1.3739,0.0000,0.0000,0.3027
705,1.3573,0.0000,0.0000,0.3027
710,1.3281,0.0000,0.0000,0.3027
715,1.2864,0.0000,0.0000,0.3027
720,1.2338,0.0000,0.0000,0.3027
725,1.1723,0.0000,0.0001,0.3027
730,1.1042,0.0000,0.0002,0.3027
