wavelength,D_C,D_M,D_Y,D_min
380,0.3771,0.0633,0.1987,0.7961
385,0.3771,0.0633,0.1987,0.7961
390,0.3382,0.0571,0.2859,0.7961
395,0.2985,0.0513,0.3712,0.7961
400,0.2556,0.0464,0.4590,0.7961
405,0.2073,0.0423,0.5526,0.7961
410,0.1540,0.0383,0.6514,0.8198
415,0.0996,0.0334,0.7528,0.8599
420,0.0495,0.0266,0.8533,0.9032
425,0.0089,0.0169,0.9492,0.9363
430,0.0000,0.0042,1.0361,0.9590
435,0.0000,0.0000,1.1091,0.9730
440,0.0000,0.0000,1.1639,0.9771
445,0.0000,0.0000,1.1980,0.9702
450,0.0000,0.0000,1.2096,0.9552
455,0.0000,0.0000,1.1974,0.9332
460,0.0014,0.0000,1.1607,0.9068
465,0.0170,0.0000,1.0998,0.8753
470,0.0307,0.0349,1.0167,0.8404
475,0.0415,0.0971,0.9152,0.8036
480,0.0490,0.1797,0.8003,0.7664
485,0.0534,0.2811,0.6776,0.7313
490,0.0553,0.3979,0.5522,0.6995
495,0.0553,0.5258,0.4288,0.6742
500,0.0539,0.6590,0.3124,0.6599
505,0.0512,0.7908,0.2080,0.6525
510,0.0474,0.9158,0.1202,0.6460
515,0.0421,1.0295,0.0520,0.6349
520,0.0349,1.1285,0.0041,0.6206
525,0.0253,1.2094,0.0000,0.6087
530,0.0132,1.2684,0.0000,0.6031
535,0.0000,1.3011,0.0000,0.5989
540,0.0000,1.3051,0.0000,0.5961
545,0.0000,1.2809,0.0000,0.5927
550,0.0000,1.2306,0.0000,0.5874
555,0.0000,1.1571,0.0044,0.5793
560,0.0000,1.0634,0.0122,0.5679
565,0.0000,0.9536,0.0172,0.5497
570,0.0186,0.8342,0.0197,0.5213
575,0.0622,0.7128,0.0206,0.4825
580,0.1170,0.5970,0.0204,0.4340
585,0.1809,0.4918,0.0198,0.3785
590,0.2512,0.3995,0.0193,0.3226
595,0.3248,0.3209,0.0187,0.2768
600,0.3986,0.2559,0.0179,0.2425
605,0.4711,0.2034,0.0166,0.2203
610,0.5417,0.1615,0.0144,0.2072
615,0.6109,0.1277,0.0117,0.2022
620,0.6790,0.0999,0.0087,0.1984
625,0.7461,0.0767,0.0060,0.2007
630,0.8121,0.0572,0.0041,0.2033
635,0.8775,0.0410,0.0029,0.2086
640,0.9427,0.0272,0.0023,0.2145
645,1.0072,0.0153,0.0018,0.2210
650,1.0703,0.0048,0.0014,0.2283
655,1.1314,0.0000,0.0010,0.2355
660,1.1899,0.0000,0.0007,0.2428
665,1.2454,0.0000,0.0004,0.2498
670,1.2963,0.0000,0.0002,0.2561
675,1.3406,0.0000,0.0001,0.2622
680,1.3763,0.0000,0.0000,0.2676
685,1.4024,0.0000,0.0000,0.2705
690,1.4193,0.0000,0.0000,0.2735
695,1.4273,0.0000,0.0000,0.2734
700,1.4254,0.0000,0.0000,0.2746
705,1.4117,0.0000,0.0000,0.2746
710,1.3848,0.0000,0.0000,0.2746
715,1.3442,0.0000,0.0000,0.2746
720,1.2911,0.0000,0.0000,0.2746
725,1.2278,0.0000,0.0000,0.2746
730,1.1568,0.0000,0.0001,0.2746
