wavelength,D_C,D_M,D_Y,D_min
380,0.2316,0.0253,0.5947,0.6078
385,0.2316,0.0253,0.5947,0.6078
390,0.2316,0.0253,0.5947,0.6078
395,0.2316,0.0253,0.5947,0.6078
400,0.2316,0.0253,0.5947,0.6078
405,0.2316,0.0253,0.5947,0.6354
410,0.1817,0.0319,0.6932,0.6797
415,0.1288,0.0361,0.7920,0.7162
420,0.0765,0.0349,0.8893,0.7579
425,0.0292,0.0264,0.9819,0.7857
430,0.0000,0.0117,1.0658,0.8090
435,0.0000,0.0000,1.1359,0.8317
440,0.0000,0.0000,1.1881,0.8470
445,0.0000,0.0000,1.2195,0.8503
450,0.0000,0.0000,1.2278,0.8420
455,0.0000,0.0000,1.2112,0.8231
460,0.0000,0.0000,1.1684,0.8055
465,0.0012,0.0000,1.0999,0.8018
470,0.0142,0.0175,1.0087,0.8008
475,0.0240,0.0935,0.8990,0.7980
480,0.0306,0.1995,0.7759,0.7848
485,0.0346,0.3306,0.6443,0.7459
490,0.0370,0.4785,0.5100,0.7074
495,0.0385,0.6329,0.3792,0.6825
500,0.0397,0.7848,0.2587,0.6740
505,0.0404,0.9274,0.1552,0.6839
510,0.0399,1.0567,0.0740,0.6929
515,0.0378,1.1706,0.0176,0.6652
520,0.0339,1.2675,0.0000,0.6318
525,0.0283,1.3447,0.0000,0.5965
530,0.0217,1.3988,0.0000,0.5695
535,0.0147,1.4261,0.0000,0.5584
540,0.0087,1.4234,0.0000,0.5537
545,0.0051,1.3896,0.0052,0.5478
550,0.0054,1.3259,0.0120,0.5441
555,0.0112,1.2364,0.0154,0.5442
560,0.0237,1.1275,0.0159,0.5449
565,0.0441,1.0063,0.0147,0.5451
570,0.0733,0.8802,0.0128,0.5388
575,0.1124,0.7558,0.0109,0.5261
580,0.1618,0.6388,0.0093,0.4935
585,0.2216,0.5336,0.0079,0.4343
590,0.2904,0.4426,0.0067,0.3721
595,0.3655,0.3662,0.0057,0.3114
600,0.4432,0.3033,0.0049,0.2669
605,0.5203,0.2517,0.0044,0.2377
610,0.5946,0.2095,0.0040,0.2239
615,0.6652,0.1750,0.0035,0.2230
620,0.7317,0.1466,0.0030,0.2241
625,0.7944,0.1232,0.0025,0.2157
630,0.8530,0.1037,0.0021,0.2042
635,0.9076,0.0876,0.0017,0.1886
640,0.9584,0.0744,0.0014,0.1738
645,1.0056,0.0638,0.0010,0.1685
650,1.0496,0.0554,0.0005,0.1660
655,1.0901,0.0486,0.0001,0.1639
660,1.1265,0.0431,0.0000,0.1629
665,1.1583,0.0386,0.0000,0.1629
670,1.1844,0.0350,0.0000,0.1632
675,1.2039,0.0320,0.0000,0.1625
680,1.2160,0.0297,0.0000,0.1616
685,1.2202,0.0281,0.0000,0.1610
690,1.2158,0.0271,0.0002,0.1597
695,1.2024,0.0267,0.0009,0.1579
700,1.1797,0.0266,0.0018,0.1560
705,1.1480,0.0268,0.0027,0.1550
710,1.1080,0.0271,0.0035,0.1538
715,1.0604,0.0275,0.0042,0.1515
720,1.0064,0.0279,0.0050,0.1489
725,0.9470,0.0282,0.0057,0.1450
730,0.8831,0.0286,0.0064,0.1411
