wavelength,D_C,D_M,D_Y,D_min
380,0.2536,0.0000,0.6098,0.6568
385,0.2536,0.0000,0.6098,0.6568
390,0.2536,0.0000,0.6098,0.6568
395,0.2536,0.0000,0.6098,0.6568
400,0.2536,0.0000,0.6098,0.6568
405,0.2536,0.0000,0.6098,0.6835
410,0.2020,0.0000,0.7090,0.7272
415,0.1464,0.0000,0.8084,0.7682
420,0.0905,0.0000,0.9058,0.8088
425,0.0383,0.0000,0.9983,0.8327
430,0.0000,0.0000,1.0819,0.8539
435,0.0000,0.0000,1.1516,0.8733
440,0.0000,0.0000,1.2030,0.8889
445,0.0000,0.0000,1.2330,0.8881
450,0.0000,0.0000,1.2395,0.8751
455,0.0000,0.0000,1.2207,0.8532
460,0.0000,0.0000,1.1752,0.8337
465,0.0000,0.0000,1.1030,0.8304
470,0.0000,0.0162,1.0061,0.8296
475,0.0086,0.0949,0.8890,0.8267
480,0.0187,0.2041,0.7574,0.8086
485,0.0253,0.3372,0.6183,0.7683
490,0.0290,0.4828,0.4794,0.7161
495,0.0306,0.6295,0.3482,0.6902
500,0.0312,0.7686,0.2315,0.6776
505,0.0310,0.8959,0.1346,0.6866
510,0.0302,1.0104,0.0605,0.6903
515,0.0283,1.1127,0.0100,0.6673
520,0.0249,1.2027,0.0000,0.6277
525,0.0200,1.2779,0.0000,0.5929
530,0.0140,1.3342,0.0000,0.5616
535,0.0077,1.3666,0.0000,0.5460
540,0.0020,1.3710,0.0000,0.5388
545,0.0000,1.3451,0.0087,0.5322
550,0.0000,1.2893,0.0198,0.5276
555,0.0004,1.2070,0.0271,0.5266
560,0.0094,1.1042,0.0304,0.5272
565,0.0254,0.9882,0.0304,0.5287
570,0.0500,0.8664,0.0282,0.5271
575,0.0848,0.7462,0.0251,0.5154
580,0.1309,0.6337,0.0216,0.4962
585,0.1887,0.5333,0.0182,0.4371
590,0.2574,0.4473,0.0150,0.3776
595,0.3344,0.3757,0.0121,0.3242
600,0.4157,0.3169,0.0094,0.2771
605,0.4973,0.2685,0.0072,0.2503
610,0.5762,0.2286,0.0054,0.2355
615,0.6507,0.1955,0.0039,0.2334
620,0.7205,0.1679,0.0026,0.2338
625,0.7861,0.1448,0.0014,0.2306
630,0.8478,0.1252,0.0001,0.2265
635,0.9055,0.1087,0.0000,0.2168
640,0.9592,0.0947,0.0000,0.2097
645,1.0090,0.0828,0.0000,0.2077
650,1.0551,0.0726,0.0000,0.2087
655,1.0974,0.0640,0.0000,0.2093
660,1.1354,0.0567,0.0000,0.2102
665,1.1684,0.0505,0.0000,0.2121
670,1.1957,0.0453,0.0000,0.2129
675,1.2163,0.0411,0.0000,0.2132
680,1.2293,0.0378,0.0000,0.2132
685,1.2341,0.0355,0.0000,0.2127
690,1.2300,0.0338,0.0000,0.2120
695,1.2166,0.0328,0.0000,0.2112
700,1.1935,0.0323,0.0000,0.2097
705,1.1609,0.0322,0.0000,0.2078
710,1.1196,0.0325,0.0000,0.2049
715,1.0702,0.0331,0.0001,0.2008
720,1.0136,0.0338,0.0010,0.1968
725,0.9511,0.0347,0.0019,0.1921
730,0.8840,0.0356,0.0028,0.1863
